,index,title,authors,average_rating,isbn,language_code,  num_pages,ratings_count,text_reviews_count,publisher,summary,day,month,year,fiction,novel,speculative_fiction,science_fiction,mystery,suspense,fantasy,children_literature
109,110,The Heart of the Matter,Graham Greene,3.99,0099478420,eng,272,21842,891,Vintage Classics," Major Henry Scobie, a long-serving policeman in a British colony on the West Coast of Africa during World War II, is responsible for local and wartime security. His wife Louise, an unhappy, solitary woman who loves literature and poetry, cannot make friends. Scobie feels responsible for her misery, but does not love her. Their only child, Catherine, died in England several years before. Louise is a devout Catholic. Scobie is a convert and devout. Scobie is passed over for promotion to Commissioner, which upsets Louise both for her personal ambition and her hope that the local British community will begin to accept her. Louise asks Scobie if she can go and live in South Africa to escape the life she hates. At the same time, a new inspector, named Wilson, arrives in the town. He is priggish and socially inept, and hides his passion for poetry for fear of ostracism from his colleagues. He and Louise strike up a friendship, which Wilson mistakes for love. Wilson rooms with another colleague named Harris, who has created a sport for himself of killing the cockroaches that appear in the apartment each night. He invites Wilson to join him, but in the first match, they end up quarreling over the rules of engagement. One of Scobie's duties is to lead the inspections of local passenger ships, particularly looking for smuggled diamonds, a needle-in-a-haystack problem that never yields results. A Portuguese ship, the Esperança (the Portuguese word for ""hope""), comes into port, and a disgruntled steward reveals the location of a letter hidden in the captain’s quarters. Scobie finds it, and because it is addressed to someone in Germany, he must confiscate it in case it should contain secret codes or other clandestine information. The captain says it’s a letter to his daughter and begs Scobie to forget the incident, offering him a bribe of one hundred pounds when he learns that they share a faith. Scobie declines the bribe and takes the letter, but having opened and read it through (thus breaking the rules) and finding it innocuous, he decides not to submit it to the authorities, and burns it. Scobie is called to a small inland town to deal with the suicide of the local inspector, a man named Pemberton, who was in his early twenties and left a note implying that his suicide was due to a loan he couldn’t repay. Scobie suspects the involvement of the local agent of a Syrian man named Yusef, a local black marketeer. Yusef denies it, but warns Scobie that the British have sent a new inspector specifically to look for diamonds; Scobie claims this is a hoax and that he doesn't know of any such man. Scobie later dreams that he is in Pemberton's situation, even writing a similar note, but when he awakens, he tells himself that he could never commit suicide, as no cause is worth the eternal damnation that suicide would bring. Scobie tries to secure a loan from the bank to pay the two hundred pound fee for Louise’s passage, but is turned down. Yusef offers to lend Scobie the money at four percent per annum. Scobie initially declines, but after an incident where he mistakenly thinks Louise is contemplating suicide, he accepts the loan and sends Louise to South Africa. Wilson meets them at the pier and tries to interfere with their parting. Shortly afterwards, the survivors of a shipwreck begin to arrive after forty days at sea in lifeboats. One young girl dies as Scobie tries to comfort her by pretending to be her father, who was killed in the wreck. A nineteen-year-old woman named Helen Rolt also arrives in bad shape, clutching an album of postage stamps. She was married before the ship left its original port and is now a widow, and her wedding ring is too big for her finger. Scobie feels drawn to her, as much to the cherished album of stamps as to her physical presence, even though she is not beautiful. She reminds him of his daughter. He soon starts a passionate affair with her, all the time being aware that he is committing a grave sin of adultery. A letter he writes to Helen ends up in Yusef's hands, and the Syrian uses it to blackmail Scobie into sending a package of diamonds for him via the returning Esperança, thus avoiding the authorities. When Louise unexpectedly returns, Scobie struggles to keep her ignorant of his love affair. But he is unable to renounce Helen, even in the confessional, so the priest tells him to think it over again and postpones absolution. Still, in order to please his wife, Scobie goes to Mass with her and thus receives communion in state of mortal sin—one of the gravest sins for a Catholic to commit. Shortly after he witnesses Yusef's boy delivering a 'gift' to Scobie, Scobie's servant Ali is killed by teenage thieves known as ""wharf rats."" Scobie had begun to doubt Ali's loyalty, and he hinted this distrust to Yusef. We are led to believe that Yusef arranged the death of Ali, although Scobie blames himself for the matter. In the body of his dead servant, Scobie sees the image of God. Now desperate, he decides to free everyone from himself—even God—so he commits suicide, being aware that this will result in damnation according to the teaching of the Church. For the sake of his life insurance he feigns symptoms of angina thus receiving a terminal prognosis from his doctor in an attempt to have his death appear natural. Instead, his efforts prove useless in the end. Louise had been not as naive as he had believed, the affair with Helen and the suicide are found out, and his wife is left behind wondering about the mercy and forgiveness of God and Helen almost immediately moves on to an affair with another man.",7,10,2004,1,0,1,0,0,0,0,0
110,111,The Tenth Man,Graham Greene,3.73,0671019090,eng,160,2910,220,Washington Square Press," The story begins in a prison in Occupied France during World War II. It is decreed that one in every ten prisoners is to be executed; lots are drawn to decide who will die. One of the men chosen is a rich lawyer. He offers all his money to anyone who will take his place. One man agrees. Upon his release from prison the lawyer must face the consequences of his actions. The story comprises four parts. In Part I, set in prison, the occupying German guards issue a decimation order to the thirty inmates. One of the three chosen by drawing lots is a rich lawyer named Chavel. Chavel becomes hysterical and desperately offers his entire wealth to any man willing to die in his place. A young man, known as Janvier, accepts his offer and is executed. In Part II, the war is over and Chavel is alive and free, but virtually destitute. He returns to the house he sold for his life and finds it occupied by Janvier’s mother and sister, Thérèse. Assuming the false name Charlot, he becomes their servant. Part III sees the arrival of an impostor, named Carosse, who claims to be Chavel. Carosse attempts to denounce Charlot, win the favour of Thérèse and stake a claim on the property. Finally in Part IV, Charlot, having fallen in love with Thérèse, must save her from Carosse, as a means of redemption from his earlier cowardice.",1,2,1998,1,0,1,0,0,0,0,0
111,112,White Teeth,Zadie Smith,3.77,0375703861,eng,448,102370,5677,Vintage," It's New Year's Day 1975 at the beginning of the novel, and we are introduced to Archie Jones, a 47-year-old man whose disturbed Italian wife has just walked out on him. Archie is attempting to commit suicide by gassing himself in his car, when a chance interruption causes him to change his mind. Filled with a fresh enthusiasm for life, Archie flips a coin and finds his way into the aftermath of a New Year's Eve party. There he meets the much-younger Clara, a Jamaican woman whose mother is a devout Jehovah's Witness. They are soon married and have a daughter, Irie, who grows up to be intelligent but with low self-confidence. Samad, who has emigrated to Britain after World War II, has married Alsana. Alsana is also much younger than he is, and their union is the product of a traditional arranged marriage. They have twin boys, Magid and Millat, who are the same age as Irie. The marriage is quite rocky, as their devotion to Islam in an English life is troublesome. Samad is continually tormented by what he sees as the effects of this cultural conflict upon his own moral character and sends 10-year-old Magid to Bangladesh in the hope that he will grow up properly under the teachings of Islam. From then on, the lives of the two boys follow very different paths. Ironically, Magid becomes an atheist and devotes his life to science (a grave disappointment to Samad). Whereas Millat, despite his earlier womanizing and drinking, eventually becomes an angry fundamentalist and part of a Muslim brotherhood known as the Keepers of the Eternal and Victorious Islamic Nation (or KEVIN). The lives of the Jones and Iqbal families intertwine with that of the Chalfens, a Jewish-Catholic family of Cambridge educated intellectuals. The father, Marcus Chalfen, is a brilliant but socially inept geneticist working on a controversial 'FutureMouse' project. The mother, Joyce Chalfen, is a part-time housewife with an often entirely misguided desire to mother and 'heal' Millat. Although they wish to be thought of as intellectual liberals, the Chalfens often demonstrate complete cultural ignorance and a blindness to the changes happening in their own family. Later on in the story, Clara's mother, a strict Jehovah's Witness, becomes involved along with Clara's ex-boyfriend when Irie runs away from home. Returned from Bangladesh, Magid works as Marcus' research assistant, while Millat is befriended by the Chalfens. To some extent the family provides a safe haven as they (believe themselves to) accept and understand the turbulent lives of Magid and Millat. However, this sympathy comes at the expense of their own son, Josh, whose difficulties are ignored by his parents as he, too, begins to rebel against his background. The strands of the narrative grow closer as Millat and KEVIN, Josh and a radical animal rights group (FATE), and Clara's mother (Hortense) and her religious connections all begin to oppose FutureMouse as an evil interference with their own beliefs and plan to stop it. Irie, who has been working for Marcus, briefly succeeds in her long-hidden attraction to Millat but is rejected under his KEVIN-inspired beliefs. Irie believes that Millat cannot love her, for he has always been 'the second son' both symbolically and literally; Millat was born two minutes after Magid. After losing her virginity to Millat, she makes Magid the 'second son' for a change by sleeping with him right after. This causes her to become pregnant, and she is left unsure of the father of her child, as the brothers are identical twins. Extraordinary consequences result as the seemingly divergent stories of the main characters coalesce in a stunning finale—the unveiling of FutureMouse, the revelatory actions of the warring groups, and of a long-kept secret from Samad and Archie's past.",12,6,2001,1,1,0,0,0,0,0,0
112,113,White Teeth,Zadie Smith,3.77,0140276335,eng,542,4202,406,Penguin Books," It's New Year's Day 1975 at the beginning of the novel, and we are introduced to Archie Jones, a 47-year-old man whose disturbed Italian wife has just walked out on him. Archie is attempting to commit suicide by gassing himself in his car, when a chance interruption causes him to change his mind. Filled with a fresh enthusiasm for life, Archie flips a coin and finds his way into the aftermath of a New Year's Eve party. There he meets the much-younger Clara, a Jamaican woman whose mother is a devout Jehovah's Witness. They are soon married and have a daughter, Irie, who grows up to be intelligent but with low self-confidence. Samad, who has emigrated to Britain after World War II, has married Alsana. Alsana is also much younger than he is, and their union is the product of a traditional arranged marriage. They have twin boys, Magid and Millat, who are the same age as Irie. The marriage is quite rocky, as their devotion to Islam in an English life is troublesome. Samad is continually tormented by what he sees as the effects of this cultural conflict upon his own moral character and sends 10-year-old Magid to Bangladesh in the hope that he will grow up properly under the teachings of Islam. From then on, the lives of the two boys follow very different paths. Ironically, Magid becomes an atheist and devotes his life to science (a grave disappointment to Samad). Whereas Millat, despite his earlier womanizing and drinking, eventually becomes an angry fundamentalist and part of a Muslim brotherhood known as the Keepers of the Eternal and Victorious Islamic Nation (or KEVIN). The lives of the Jones and Iqbal families intertwine with that of the Chalfens, a Jewish-Catholic family of Cambridge educated intellectuals. The father, Marcus Chalfen, is a brilliant but socially inept geneticist working on a controversial 'FutureMouse' project. The mother, Joyce Chalfen, is a part-time housewife with an often entirely misguided desire to mother and 'heal' Millat. Although they wish to be thought of as intellectual liberals, the Chalfens often demonstrate complete cultural ignorance and a blindness to the changes happening in their own family. Later on in the story, Clara's mother, a strict Jehovah's Witness, becomes involved along with Clara's ex-boyfriend when Irie runs away from home. Returned from Bangladesh, Magid works as Marcus' research assistant, while Millat is befriended by the Chalfens. To some extent the family provides a safe haven as they (believe themselves to) accept and understand the turbulent lives of Magid and Millat. However, this sympathy comes at the expense of their own son, Josh, whose difficulties are ignored by his parents as he, too, begins to rebel against his background. The strands of the narrative grow closer as Millat and KEVIN, Josh and a radical animal rights group (FATE), and Clara's mother (Hortense) and her religious connections all begin to oppose FutureMouse as an evil interference with their own beliefs and plan to stop it. Irie, who has been working for Marcus, briefly succeeds in her long-hidden attraction to Millat but is rejected under his KEVIN-inspired beliefs. Irie believes that Millat cannot love her, for he has always been 'the second son' both symbolically and literally; Millat was born two minutes after Magid. After losing her virginity to Millat, she makes Magid the 'second son' for a change by sleeping with him right after. This causes her to become pregnant, and she is left unsure of the father of her child, as the brothers are identical twins. Extraordinary consequences result as the seemingly divergent stories of the main characters coalesce in a stunning finale—the unveiling of FutureMouse, the revelatory actions of the warring groups, and of a long-kept secret from Samad and Archie's past.",25,1,2001,1,1,0,0,0,0,0,0
113,114,White Teeth,Zadie Smith,3.77,1417626283,eng,448,81,11,Turtleback Books," It's New Year's Day 1975 at the beginning of the novel, and we are introduced to Archie Jones, a 47-year-old man whose disturbed Italian wife has just walked out on him. Archie is attempting to commit suicide by gassing himself in his car, when a chance interruption causes him to change his mind. Filled with a fresh enthusiasm for life, Archie flips a coin and finds his way into the aftermath of a New Year's Eve party. There he meets the much-younger Clara, a Jamaican woman whose mother is a devout Jehovah's Witness. They are soon married and have a daughter, Irie, who grows up to be intelligent but with low self-confidence. Samad, who has emigrated to Britain after World War II, has married Alsana. Alsana is also much younger than he is, and their union is the product of a traditional arranged marriage. They have twin boys, Magid and Millat, who are the same age as Irie. The marriage is quite rocky, as their devotion to Islam in an English life is troublesome. Samad is continually tormented by what he sees as the effects of this cultural conflict upon his own moral character and sends 10-year-old Magid to Bangladesh in the hope that he will grow up properly under the teachings of Islam. From then on, the lives of the two boys follow very different paths. Ironically, Magid becomes an atheist and devotes his life to science (a grave disappointment to Samad). Whereas Millat, despite his earlier womanizing and drinking, eventually becomes an angry fundamentalist and part of a Muslim brotherhood known as the Keepers of the Eternal and Victorious Islamic Nation (or KEVIN). The lives of the Jones and Iqbal families intertwine with that of the Chalfens, a Jewish-Catholic family of Cambridge educated intellectuals. The father, Marcus Chalfen, is a brilliant but socially inept geneticist working on a controversial 'FutureMouse' project. The mother, Joyce Chalfen, is a part-time housewife with an often entirely misguided desire to mother and 'heal' Millat. Although they wish to be thought of as intellectual liberals, the Chalfens often demonstrate complete cultural ignorance and a blindness to the changes happening in their own family. Later on in the story, Clara's mother, a strict Jehovah's Witness, becomes involved along with Clara's ex-boyfriend when Irie runs away from home. Returned from Bangladesh, Magid works as Marcus' research assistant, while Millat is befriended by the Chalfens. To some extent the family provides a safe haven as they (believe themselves to) accept and understand the turbulent lives of Magid and Millat. However, this sympathy comes at the expense of their own son, Josh, whose difficulties are ignored by his parents as he, too, begins to rebel against his background. The strands of the narrative grow closer as Millat and KEVIN, Josh and a radical animal rights group (FATE), and Clara's mother (Hortense) and her religious connections all begin to oppose FutureMouse as an evil interference with their own beliefs and plan to stop it. Irie, who has been working for Marcus, briefly succeeds in her long-hidden attraction to Millat but is rejected under his KEVIN-inspired beliefs. Irie believes that Millat cannot love her, for he has always been 'the second son' both symbolically and literally; Millat was born two minutes after Magid. After losing her virginity to Millat, she makes Magid the 'second son' for a change by sleeping with him right after. This causes her to become pregnant, and she is left unsure of the father of her child, as the brothers are identical twins. Extraordinary consequences result as the seemingly divergent stories of the main characters coalesce in a stunning finale—the unveiling of FutureMouse, the revelatory actions of the warring groups, and of a long-kept secret from Samad and Archie's past.",1,6,2001,1,1,0,0,0,0,0,0
114,115,White Teeth,Zadie Smith,3.77,0140297782,en-GB,542,1265,142,Penguin," It's New Year's Day 1975 at the beginning of the novel, and we are introduced to Archie Jones, a 47-year-old man whose disturbed Italian wife has just walked out on him. Archie is attempting to commit suicide by gassing himself in his car, when a chance interruption causes him to change his mind. Filled with a fresh enthusiasm for life, Archie flips a coin and finds his way into the aftermath of a New Year's Eve party. There he meets the much-younger Clara, a Jamaican woman whose mother is a devout Jehovah's Witness. They are soon married and have a daughter, Irie, who grows up to be intelligent but with low self-confidence. Samad, who has emigrated to Britain after World War II, has married Alsana. Alsana is also much younger than he is, and their union is the product of a traditional arranged marriage. They have twin boys, Magid and Millat, who are the same age as Irie. The marriage is quite rocky, as their devotion to Islam in an English life is troublesome. Samad is continually tormented by what he sees as the effects of this cultural conflict upon his own moral character and sends 10-year-old Magid to Bangladesh in the hope that he will grow up properly under the teachings of Islam. From then on, the lives of the two boys follow very different paths. Ironically, Magid becomes an atheist and devotes his life to science (a grave disappointment to Samad). Whereas Millat, despite his earlier womanizing and drinking, eventually becomes an angry fundamentalist and part of a Muslim brotherhood known as the Keepers of the Eternal and Victorious Islamic Nation (or KEVIN). The lives of the Jones and Iqbal families intertwine with that of the Chalfens, a Jewish-Catholic family of Cambridge educated intellectuals. The father, Marcus Chalfen, is a brilliant but socially inept geneticist working on a controversial 'FutureMouse' project. The mother, Joyce Chalfen, is a part-time housewife with an often entirely misguided desire to mother and 'heal' Millat. Although they wish to be thought of as intellectual liberals, the Chalfens often demonstrate complete cultural ignorance and a blindness to the changes happening in their own family. Later on in the story, Clara's mother, a strict Jehovah's Witness, becomes involved along with Clara's ex-boyfriend when Irie runs away from home. Returned from Bangladesh, Magid works as Marcus' research assistant, while Millat is befriended by the Chalfens. To some extent the family provides a safe haven as they (believe themselves to) accept and understand the turbulent lives of Magid and Millat. However, this sympathy comes at the expense of their own son, Josh, whose difficulties are ignored by his parents as he, too, begins to rebel against his background. The strands of the narrative grow closer as Millat and KEVIN, Josh and a radical animal rights group (FATE), and Clara's mother (Hortense) and her religious connections all begin to oppose FutureMouse as an evil interference with their own beliefs and plan to stop it. Irie, who has been working for Marcus, briefly succeeds in her long-hidden attraction to Millat but is rejected under his KEVIN-inspired beliefs. Irie believes that Millat cannot love her, for he has always been 'the second son' both symbolically and literally; Millat was born two minutes after Magid. After losing her virginity to Millat, she makes Magid the 'second son' for a change by sleeping with him right after. This causes her to become pregnant, and she is left unsure of the father of her child, as the brothers are identical twins. Extraordinary consequences result as the seemingly divergent stories of the main characters coalesce in a stunning finale—the unveiling of FutureMouse, the revelatory actions of the warring groups, and of a long-kept secret from Samad and Archie's past.",30,11,2000,1,1,0,0,0,0,0,0
115,116,The Dharma Bums,Jack Kerouac,3.92,0141184884,en-GB,204,1361,77,Penguin Books Ltd," Ray Smith's story is driven by Japhy, whose penchant for the simple life and Zen Buddhism greatly influenced Kerouac on the eve of the sudden and unpredicted success of On the Road. The action shifts between the events of Smith and Ryder's ""city life,"" such as three-day parties and enactments of the Buddhist ""Yab-Yum"" rituals, to the sublime and peaceful imagery where Kerouac seeks a type of transcendence. The novel concludes with a change in narrative style, with Kerouac working alone as a fire lookout on Desolation Peak (adjacent to Hozomeen Mountain), in what would soon be declared North Cascades National Park (see also Desolation Angels). These elements place The Dharma Bums at a critical junction foreshadowing the consciousness-probing works of several authors in the 1960s such as Timothy Leary and Ken Kesey. One episode in the book features Smith, Ryder and Henry Morley (based on real-life friend John Montgomery) climbing Matterhorn Peak in California. It tells the story of Kerouac's first introduction to this type of mountaineering and would serve as inspiration for him to spend the following summer as a fire lookout for the United States Forest Service on Desolation Peak in Washington. The novel also gives an account of the legendary 1955 Six Gallery reading, where Allen Ginsberg gave a debut presentation of his poem ""Howl"" (changed to ""Wail"" in the book), and other authors such as Snyder, Kenneth Rexroth, Michael McClure, and Philip Whalen performed.",3,8,2000,1,1,0,0,0,0,0,0
116,117,Ballet Shoes,Noel Streatfeild,4.07,1842552473,eng,184,210,26,Orion Children's Books," The narrative concern three adopted sisters, Pauline, Petrova and Posy Fossil. Each of the girls is discovered as a baby by Matthew Brown (Great-Uncle-Matthew, or Gum), an elderly, absent-minded paleontologist and professor, during his world travels, and sent home to his great-niece, Sylvia, and her childhood nanny, whom everybody called 'Nana'. Gum (Great-Uncle-Matthew) embarks upon an expedition of many years, and arranges for money to support the family while he is gone. He then disappears. Despite trying to save money until Gum's return, he does not return in the promised five years, and the money is soon almost gone. As they have no way to contact him, or track him down, Sylvia and Nana decide to take in boarders to help make ends meet, which introduces a variety of people who become important to the children. Boarders include Mr. Simpson, who runs an auto repair garage and is as interested in engines as Petrova, and his wife, Mrs. Simpson; also, Dr. Jakes and Dr. Smith, a pair of tutors who take over the children's schooling after Sylvia can no longer afford their school fees and has tried, but failed, to teach the children herself; last of all, Miss Theo Dane, a dance teacher, who arranges for the children to begin classes at the Children's Academy of Dancing and Stage Training. They all have very different views of dancing and acting. Pauline soon find she has a talent and passion for acting. Petrova loathes all acting and dancing, and, if it wasn't for the money they could earn acting when they reach the minimum age for performing professionally at twelve, she would quit. Posy doesn't think much of anything but dancing, for which she has a real talent. When she is about six, Madame Fidolia, a famous and retired Russian dancer, teaches Posy entirely herself, which has never happened before. As the children mature, they begin to develop their own talents, and take on some of the responsibility of supporting the household. Much of the drama in the plot comes from the friction between the sisters and from balancing their desire to help support the family financially against the laws limiting the amount of time they may spend on stage and the rules set by the London County Council, such as ""one-third of a child's earnings must go into the post office (bank)"". Pauline's talent for English and drama means she is picked for important parts early on in her career. This early success goes to her head during the production in which she has her first lead role, but after being set down a peg when the producer replaces her with her understudy, she learns enough humility to balance her talent and goes on to play many successful lead parts. Though she is still too young to perform on stage by the end of the book, Posy is developing into a brilliant ballet dancer, though she also clashes with her sisters as she is so focused on dancing that she can be insensitive about anything that gets in her way. Petrova's struggle differs slightly from her sisters' in that she is not interested in the performing arts at all, and has little talent for it, but she must keep attending the classes and performing in order to help support the family, meanwhile trying to hold onto her own dream of flying airplanes. All three sisters are inspired and kept up by their repeated vow: ""We three Fossils vow to try and put our name in the history books, because it's our very own, and nobody can say it's because of our grandfathers."" The book ends with Pauline going off to Hollywood to make a film, accompanied by Sylvia. Posy is going to a ballet school in Prague, accompanied by Nana. Petrova wonders what will become of her, as she is still too young to live on her own, and she doesn't want to dance or act. At this moment, Gum miraculously walks through the front door. He has been away so long that he doesn't realise who the three girls are at first, but after they convince him they are the babies he left all those years ago and tell him what has happened, he decides he will take Petrova under his wing and help her to achieve her dream. Although the book ends while the girls are still teenagers and their futures unclear, the narrator implies that they will be successful.",23,12,2004,1,0,0,0,0,0,0,1
117,118,The Corrections,Jonathan Franzen,3.79,1841156736,eng,653,133237,7468,Fourth Estate Paperbacks," The Corrections focuses on the Lamberts, a traditional and somewhat repressed Midwestern family, whose children have fled to the east coast to start new lives free from the influence of their parents. The novel moves back and forth in time throughout the late twentieth century, depicting the personal growth and mistakes of each family member in detail. The book climaxes around the time of the technology driven economic boom of the late nineties as the troubled family's problems begin to boil to the surface. Alfred Lambert is a railroad engineer and the stern patriarch of the Lambert family, based in the fictional town of St. Jude. After his children grow up and move to the east coast, Alfred retires, but soon begins to suffer from Parkinson's disease, causing his organized and repressed personality to fracture. Alfred's loyal wife Enid has long suffered from his tyrannical behavior, but his increasing dementia makes her life still harder. She is also tortured by the questionable life choices of her three children and their abandonment of midwestern Protestant values. As the economic boom of the late nineties goes into full swing, the family's massive problems become impossible to ignore. Gary, the eldest Lambert son, is a successful but seemingly depressed and alcoholic banker in Philadelphia who suspects his life is carefully controlled by his manipulative wife and children. Chip, the middle child, is a Marxist academic whose disastrous affair with a student loses him a tenure-track job and lands him in the employ of a Lithuanian crime boss defrauding American investors. Denise, the youngest of the family, is a successful chef in Philadelphia, but loses her job after interlocking romances with both her boss and his wife. The separate plot-lines converge on Christmas morning back in St. Jude, when Enid and her children are forced to confront Alfred's accelerating physical and mental decline.",2,9,2002,1,0,0,0,0,0,0,0
118,119,Heat and Dust,Ruth Prawer Jhabvala,3.55,1582430152,eng,190,6214,270,Counterpoint," The initial stages of the novel are told in the first person, from the narrative voice of a woman who travels to India, to find out more about her step-grandmother, Olivia. She has various letters written by Olivia, and through studying these, and learning from her own experiences in India, she uncovers the truth about Olivia and her life during the British Raj in the 1920's. Through the use of analepses the reader experiences the story from Olivia's point of view. We discover that Olivia, although at first glance seems simply to be a proper english woman, is actually smothered by British social restrictions, and longs for excitement. She meets the Nawab, who instantly charms her, and gradually lets her in to his life bit by bit. Olivia is drawn to the charm and charisma of the Nawab, whereas he slowly gains control over her, as he does with other characters such as Harry. Harry, is portrayed as weak, due to his homosexuality and inability to withstand the Indian climate and food. Olivia eventually falls pregnant with the Nawab's baby, and out of fear decides to abort the child. This causes scandal in the town of Satipur. She then resides in an unnamed town (""Town X"") for her remaining years. The novel ends with the present-day narrator (whose name we do not find out) also falling pregnant, deciding to spend her years in Town X, just as Olivia did.",16,4,1999,1,0,0,0,0,0,0,1
